symbol,coverage_start,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,fees,slippage,net_pnl,return,exit_reason,holding_days,strategy_version
00100.HK,20260109,20260112,379.17879999999997,20260113,364.635,263,-3825.01939999999,330.64664028000004,195.61939999999072,-4155.66604027999,-0.04167166402763014,stop_loss,1,improved_volume_grey_risk
00501.HK,20260112,20260113,124.52439999999999,20260114,114.6852,803,-7900.8775999999925,322.59458615999995,192.07759999998598,-8223.472186159992,-0.08224040204168814,stop_loss,1,improved_volume_grey_risk
01021.HK,20260330,20260331,19.019,20260401,18.65133,5257,-1932.8411899999774,335.68955158200004,198.0311899999923,-2268.5307415819775,-0.022689191124664585,stop_loss,1,improved_volume_grey_risk
02513.HK,20260108,20260109,137.33719999999997,20260112,208.1916,728,51582.003200000036,453.41744448,251.59679999999298,51128.585755520035,0.5113805570522777,take_profit,1,improved_volume_grey_risk
06656.HK,20260416,20260417,643.6429999999999,20260420,596.9025,155,-7244.777499999982,323.26135050000005,192.27749999998196,-7568.038850499982,-0.07585891107337435,stop_loss,1,improved_volume_grey_risk
06938.HK,20260109,20260112,85.43534999999999,20260113,80.8191,1170,-5401.012499999968,327.9795948,194.51249999998936,-5728.992094799968,-0.05731321332446082,stop_loss,1,improved_volume_grey_risk
07630.HK,20260513,20260514,43.10306,20260515,39.99996,2320,-7199.1919999999955,324.15871488,192.79199999998752,-7523.350714879995,-0.07523418485833716,stop_loss,1,improved_volume_grey_risk
07688.HK,20260520,20260521,48.96892,20260522,38.941019999999995,2042,-20476.971800000014,294.93207981599994,179.49179999999518,-20771.903879816015,-0.207730392011913,stop_loss,1,improved_volume_grey_risk
